CustomerID,CustomerName,BillToCustomerID,CustomerCategoryID,BuyingGroupID,PrimaryContactPersonID,AlternateContactPersonID,DeliveryMethodID,DeliveryCityID,PostalCityID,CreditLimit,AccountOpenedDate,StandardDiscountPercentage,IsStatementSent,IsOnCreditHold,PaymentDays,PhoneNumber,FaxNumber,DeliveryRun,RunPosition,WebsiteURL,DeliveryAddressLine1,DeliveryAddressLine2,DeliveryPostalCode,PostalAddressLine1,PostalAddressLine2,PostalPostalCode,LastEditedBy,ValidFrom,ValidTo
1001,Dinh Mai,1001,5,,3201,,3,9258,9258,3900.000000000000000000,2013-01-27T00:00:00.000Z,0E-18,false,false,7,(210) 555-0100,(210) 555-0101,,,http://www.microsoft.com/,Suite 22,1787 Hele Avenue,90423,PO Box 9864,Sharonville,90423,1,2013-01-27T00:00:00.000Z,9999-12-31T23:59:59.999Z
1002,Stefan Selezeanu,1002,5,,3202,,3,7529,7529,3300.000000000000000000,2013-02-22T00:00:00.000Z,0E-18,false,false,7,(212) 555-0100,(212) 555-0101,,,http://www.microsoft.com/,Unit 2,1683 Zala Avenue,90053,PO Box 9281,Darshanaville,90053,1,2013-02-22T00:00:00.000Z,9999-12-31T23:59:59.999Z
1004,Drishti Bose,1004,6,,3204,,3,36434,36434,3600.000000000000000000,2013-04-01T00:00:00.000Z,0E-18,false,false,7,(479) 555-0100,(479) 555-0101,,,http://www.microsoft.com/,Shop 12,262 Seo-yun Boulevard,90534,PO Box 2214,Selmaville,90534,1,2013-04-01T00:00:00.000Z,9999-12-31T23:59:59.999Z
1005,Bhadram Kamasamudram,1005,3,,3205,,3,36365,36365,2300.000000000000000000,2013-04-06T00:00:00.000Z,0E-18,false,false,7,(802) 555-0100,(802) 555-0101,,,http://www.microsoft.com/,Shop 3,94 Selma Road,90167,PO Box 1857,Rajivville,90167,1,2013-04-06T00:00:00.000Z,9999-12-31T23:59:59.999Z
1006,Taj Syme,1006,3,,3206,,3,25083,25083,3100.000000000000000000,2013-04-10T00:00:00.000Z,0E-18,false,false,7,(216) 555-0100,(216) 555-0101,,,http://www.microsoft.com/,Unit 27,1864 Rohan Road,90216,PO Box 7111,Pavelville,90216,1,2013-04-10T00:00:00.000Z,9999-12-31T23:59:59.999Z
1007,Irma Berzina,1007,7,,3207,,3,24180,24180,2600.000000000000000000,2013-04-13T00:00:00.000Z,0E-18,false,false,7,(458) 555-0100,(458) 555-0101,,,http://www.microsoft.com/,Suite 29,932 Deeptendu Crescent,90150,PO Box 677,Laimonisville,90150,1,2013-04-13T00:00:00.000Z,9999-12-31T23:59:59.999Z
1008,Vedrana Kovacevic,1008,3,,3208,,3,28434,28434,2100.000000000000000000,2013-04-14T00:00:00.000Z,0E-18,false,false,7,(479) 555-0100,(479) 555-0101,,,http://www.microsoft.com/,Shop 31,1195 Sophia Crescent,90070,PO Box 3786,Hongville,90070,1,2013-04-14T00:00:00.000Z,9999-12-31T23:59:59.999Z
1009,Bhagavateeprasaad Malladi,1009,5,,3209,,3,13896,13896,2800.000000000000000000,2013-05-03T00:00:00.000Z,0E-18,false,false,7,(479) 555-0100,(479) 555-0101,,,http://www.microsoft.com/,Shop 18,1386 Elnaz Avenue,90471,PO Box 3068,Davidville,90471,1,2013-05-03T00:00:00.000Z,9999-12-31T23:59:59.999Z
1010,Serdar ozCelik,1010,4,,3210,,3,8562,8562,1200.000000000000000000,2013-05-06T00:00:00.000Z,0E-18,false,false,7,(210) 555-0100,(210) 555-0101,,,http://www.microsoft.com/,Unit 2,473 Mani Avenue,90481,PO Box 8427,Magdalenaville,90481,1,2013-05-06T00:00:00.000Z,9999-12-31T23:59:59.999Z
1011,Rajeev Sandhu,1011,6,,3211,,3,35951,35951,4000.000000000000000000,2013-06-11T00:00:00.000Z,0E-18,false,false,7,(458) 555-0100,(458) 555-0101,,,http://www.microsoft.com/,Shop 9,1768 Suniti Road,90658,PO Box 6458,Padmaville,90658,1,2013-06-11T00:00:00.000Z,9999-12-31T23:59:59.999Z
